Node,Downstream_Size
7,2
14,3
20,3
26,2
33,3
34,3
35,3
37,3
38,4
67,2
80,2
83,3
89,6
90,2
96,6
98,2
153,4
170,4
212,2
217,3
222,2
225,4
227,4
235,2
238,2
240,2
247,4
248,6
260,2
265,3
271,3
276,2
280,4
282,2
288,4
290,2
291,2
292,2
303,2
313,2
318,3
321,5
322,6
324,2
325,4
330,5
335,4
341,2
343,2
353,2
358,2
360,2
376,4
403,2
412,3
417,4
426,2
431,2
435,2
439,2
445,2
461,3
499,2
519,2
524,3
537,2
538,2
542,2
550,2
574,3
737,2
738,2
754,2
772,2
807,1266
811,2
817,2
820,2
839,2
844,2
854,2
1133,4
1134,4
1149,2
1150,2
1158,3
1159,3
1184,3
1185,3
1186,2
1206,4
1207,2
1215,2
1226,3
1229,2
1230,2
1233,2
1234,2
1240,2
1244,2
1260,3
1261,2
1263,2
1269,2
1270,2
1272,2
1292,2
1298,2
1299,4
1300,2
1301,4
1303,3
1309,2
1318,2
1319,2
1348,8
1349,8
1350,8
1351,2
1403,1267
1425,2
1426,2
1486,2
1494,3
1887,2
1888,2
1896,2
2519,2
2521,2
2544,2
2637,3
2750,2
2751,2
2761,3
2816,2
2819,2
2849,2
2852,2
2936,2
2938,2
2980,2
2984,2
3109,2
3172,2
3616,2
3662,2
3663,2
3690,3
3725,2
3727,2
3858,2
3878,2
3882,3
3886,2
3888,4
3889,4
4299,2
4300,2
4400,2
4403,2
4405,2
4545,2
4580,2
4581,2
4601,2
4823,2
4834,2
4868,2
4877,2
4951,2
5019,2
5058,3
5064,3
5089,2
5111,2
5171,2
5180,2
5300,2
5325,2
5327,2
5374,2
5405,3
5406,2
5408,2
5412,3
5438,2
5497,2
5617,2
5618,2
5619,2
5642,2
5644,2
5646,2
5699,3
5780,3
5783,2
5809,3
5837,2
5842,2
5941,2
5964,3
5994,2
6020,2
6033,2
6036,2
6037,2
6039,2
6040,2
6047,2
6048,2
6049,2
6052,2
6055,2
6059,2
6060,2
6063,2
6066,2
6085,2
6086,2
6109,2
6124,2
6127,2
6130,2
6131,2
6134,2
6141,2
6182,2
6233,2
6240,2
6255,2
6264,2
6265,2
6285,2
6289,2
6294,2
6297,2
6299,2
6300,2
6307,2
6309,3
6310,2
6311,2
6312,2
6369,2
6372,2
6373,2
6374,2
6375,2
6423,2
6436,3
6437,3
6439,2
6441,3
6442,3
6452,2
6504,2
6581,2
6599,2
6600,2
6602,2
6603,2
6605,2
6645,2
6707,2
6724,2
7049,2
7213,2
8057,2
8090,2
8094,2
8120,2
8123,2
8128,2
8186,2
8322,2
8441,2
8444,4
8495,2
8497,2
8526,4
8550,2
8628,2
8660,2
8662,2
8674,2
8729,2
8730,2
8731,3
8735,2
8744,2
8757,2
8802,2
8812,2
8874,2
8888,2
8938,2
8943,2
8956,2
8961,2
8971,2
9016,2
9026,3
9062,2
9116,2
9479,2
9482,2
9483,2
9490,2
9766,2
9781,2
10048,2
10056,2
10150,58
10153,58
10156,58
10345,2
10355,2
10640,2
10652,2
10729,2
10987,2
10989,3
10990,2
11112,2
11146,3
11149,2
11151,3
11161,2
11241,2
11256,2
11268,3
11269,3
11297,2
11308,2
11310,2
11331,2
11350,2
11367,2
11487,2
11745,2
11798,2
11817,2
11818,2
11819,2
11831,2
11859,2
11971,2
11993,2
12055,2
12057,2
12058,2
12059,2
12060,2
12070,2
12074,2
12151,123
12153,123
12167,2
12221,2
12222,2
12224,2
12229,2
12230,2
12231,2
12233,2
12237,2
12243,2
12252,2
12253,2
12328,123
12329,123
12399,2
12477,2
12617,2
12680,123
12777,2
12820,2
12848,124
12850,123
12880,2
12923,3
13006,3
13091,2
13125,22
13142,2
13164,2
13166,2
13181,2
13233,3
13234,2
13238,2
13240,2
13241,2
13245,2
13248,2
13286,2
13287,2
13288,2
13289,2
13291,2
13294,2
13694,2
14359,2
14472,2
14500,2
14501,2
14511,2
14516,2
14546,2
14612,2
14618,2
14628,2
14629,2
14630,2
14631,2
14639,2
14644,2
14647,3
14650,2
14651,3
14695,2
14714,2
14715,2
14718,3
14727,2
14730,2
14732,2
14733,2
14734,2
14737,2
14787,2
14793,2
14794,2
14799,4
14800,2
14801,2
15015,2
15023,2
15024,2
15025,2
15026,2
15027,2
15028,2
15029,2
15056,2
15057,2
15059,2
15070,2
15071,2
15074,2
15075,2
15076,2
15106,2
15130,2
15225,2
15227,2
15229,2
15264,2
15381,2
15383,2
15390,2
15391,2
15394,2
15418,2
15464,3
15474,2
15564,2
15574,4
15578,4
15596,2
15598,3
15599,3
15600,2
15601,2
15603,2
15614,3
15617,3
15634,3
15645,3
15647,3
15648,2
15659,2
15705,2
15716,2
15718,2
15726,2
15731,2
15736,2
15737,2
15738,2
15740,2
15741,2
15766,2
15785,3
15911,2
15936,2
15952,2
15957,2
15989,2
15996,2
15997,2
16011,2
16103,2
16107,2
16228,3
16291,2
16292,2
16295,2
16408,2
16416,2
16486,2
16487,2
16542,2
16543,2
16545,2
16548,2
16550,2
16756,2
16758,2
16774,2
16793,2
16849,2
16860,3
16866,2
16917,3
17498,2
17859,2
17938,2
17975,2
18066,2
18070,2
18074,2
18076,2
18292,2
18327,2
18329,2
18394,2
18467,2
18480,2
18481,4
18484,2
18486,2
18488,2
18490,2
18492,2
18494,2
18495,2
18496,3
18499,3
18501,2
18505,2
18523,2
18594,3
18610,2
18648,2
18649,2
18651,2
18682,2
18798,4
18799,4
18801,4
18808,2
18813,2
18887,3
18907,2
18913,2
19009,2
19010,2
19102,2
19121,2
19131,2
19142,2
19146,2
19155,2
19161,2
19166,2
19169,2
19242,2
19253,3
19295,2
19307,2
19372,2
19377,2
19424,2
19429,2
19521,3
20205,3
20300,2
20367,3
20417,2
20422,2
20424,2
20433,2
20475,2
20590,2206
20646,2
20740,2208
20745,2208
20768,2
20783,2207
20872,2
21032,2
21048,2
21092,2
21120,2
21122,2
21130,2
21167,2
21168,2
21172,2
21192,2
21246,2
21253,2
21271,2
21353,2
21357,2
21364,2
21417,2
21664,2
21871,2
21927,2
21982,2
22024,2
22025,2
22026,2
22027,2
22028,2
