,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127
4,0.0,0.0,0.0,0.0,0.4276228,0.0,0.0026125424,1.442695,2.5743985,0.0,3.9909317,0.0,2.71409,1.5141077,0.0,1.578191,0.0,0.0,0.0,1.7870697,0.0,0.0,0.0,0.90753514,0.96333027,0.0,4.4788246,0.0,0.0,2.403692,0.0,0.0,0.9500306,0.0,0.0,0.0,0.0,0.0,0.0,4.0024776,0.56961477,3.146449,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5519465,0.0,0.0,0.0,2.192206,0.0,0.0,0.0,0.0,3.8365777,0.0,1.2071508,3.5186753,0.0,0.20193954,1.7645336,0.0,0.0,0.0,0.6849581,0.0,0.0,0.0,1.2179744,0.0,0.0,0.0,0.0,0.0,0.71773994,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.6350546,0.0,0.0,0.0,2.7352695,0.0,0.0,0.0,0.0,0.79572755,0.0,0.0,0.0,5.317047,0.0,0.0,0.0,0.0,3.9653542,0.0,0.0,4.690777,1.9489694,0.0,0.0,0.0,0.0,0.0,0.0,1.3748692,2.6553402,0.8553944,0.0,0.0,0.47112128,0.0,0.0,0.41118756
6,0.0,0.0,0.0,0.0,0.43974248,0.0,0.0,1.4324746,2.4791815,0.0,3.882903,0.0,2.8085167,1.4511403,0.0,1.6533979,0.0,0.0,0.0,1.6452523,0.0,0.0,0.0,0.964235,1.2264268,0.0,4.373767,0.0,0.0,2.2891057,0.0,0.0,0.85775805,0.0,0.0,0.0,0.0,0.0,0.0,4.011735,0.5313133,3.0270176,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.269272,0.0,0.0,0.0,2.2418838,0.0,0.0,0.0,0.0,3.7438593,0.0,1.227323,3.80158,0.0,0.5051259,1.8489579,0.0,0.0,0.0,0.948859,0.0,0.0,0.0,1.362224,0.0,0.0,0.0,0.0,0.0,0.74224246,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.478434,0.0,0.0,0.0,3.0398865,0.0,0.0,0.0,0.0,0.6144235,0.0,0.0,0.0,5.365398,0.0,0.0,0.0,0.0,4.062899,0.0,0.0,4.619727,2.0171201,0.0,0.0,0.0,0.0,0.0,0.0,1.3302183,2.9135025,0.74676615,0.0,0.0,0.441485,0.0,0.0,0.17110807
19,0.0,0.0,0.0,0.0,0.43780574,0.0,0.0,1.4319503,2.5686085,0.0,4.07854,0.0,2.8157694,1.4559978,0.0,1.5699568,0.0,0.0,0.0,1.928259,0.0,0.0,0.0,0.847662,0.90770555,0.0,4.383335,0.0,0.0,2.4668615,0.0,0.0,0.94045436,0.0,0.0,0.0,0.0,0.0,0.0,4.025332,0.4598642,3.0250175,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6449459,0.0,0.0,0.0,2.3981595,0.0,0.0,0.0,0.0,4.0254025,0.0,1.299266,3.4984572,0.0,0.30107862,1.7706121,0.0,0.0,0.0,0.68359244,0.0,0.0,0.0,1.1536173,0.0,0.0,0.0,0.0,0.0,0.73863566,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.5687637,0.0,0.0,0.0,2.828191,0.0,0.0,0.0,0.0,0.77122396,0.0,0.0,0.0,5.5113273,0.0,0.0,0.0,0.0,3.861113,0.0,0.0,4.69868,1.6747503,0.0,0.0,0.0,0.0,0.0,0.0,1.4114084,2.5306685,0.7983838,0.0,0.0,0.48566154,0.0,0.0,0.5050009
21,0.0,0.0,0.0,0.0,0.30942026,0.0,0.40038848,1.3725713,2.498786,0.0,3.9523351,0.0,2.350628,1.7915598,0.0,1.2143501,0.0,0.0,0.0,1.4248668,0.0,0.0,0.0,0.7629687,0.46158266,0.0,4.6921854,0.0,0.0,2.6599941,1.4243981,0.0,0.8482749,0.0,0.0,0.0,0.0,0.0,0.0,3.4925296,1.050255,3.5562265,1.368287,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.91803664,0.0,0.0,0.0,2.0632215,0.0,0.0,0.0,0.0,3.1680498,0.0,0.71951705,3.4605567,0.0,0.0,1.8664267,0.0,0.0,0.0,0.6161405,0.0,0.0,0.0,1.0840533,0.0,0.0,0.0,0.0,0.0,0.64755154,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.132346,0.0,0.0,0.0,2.1037045,0.0,0.0,0.0,0.0,0.83105654,0.0,0.0,0.0,4.5688825,0.0,0.0,0.0,0.0,3.9089782,0.0,0.0,4.763831,2.408893,0.7447546,0.0,0.0,0.0,0.0,0.0,1.1759609,2.6465619,1.6715502,0.0,0.0,0.34273094,0.0,0.0,0.7159493
31,0.0,0.0,0.0,0.0,0.16491395,0.0,0.0,1.13586,2.4750373,1.8964134,3.5273037,0.0,1.8828882,1.5753974,0.0,3.723611,0.0,0.0,0.0,1.5282282,0.0,0.0,0.0,0.0,0.15086064,0.0,4.8266916,0.0,0.0,1.7701646,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0122066,1.2869166,2.553477,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.11998439,0.0,0.0,0.0,1.3692846,0.0,0.0,0.0,0.0,4.550367,0.0,1.5058385,3.659052,0.0,2.6809134,3.5599766,0.0,0.0,0.0,1.8553294,0.0,0.0,0.0,1.3030937,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.58069,0.0,0.0,0.0,1.6173909,0.0,0.0,0.0,0.0,0.69811493,0.0,0.0,0.0,4.838175,0.0,0.0,0.0,0.0,3.5570369,0.0,0.0,5.4341283,2.6429348,0.2027213,0.0,0.0,0.0,0.0,0.0,0.0,3.3092897,1.0892226,0.0,0.0,0.0,0.0,0.0,0.029149845
33,0.0,0.0,0.0,0.0,0.40065563,0.0,0.4162512,1.316276,2.3075686,0.0,4.2199464,0.0,1.6947856,1.022332,0.0,0.07163358,0.0,0.0,0.0,0.7893722,0.0,0.0,0.0,1.2948442,1.5927594,0.0,4.3945365,0.0,0.0,2.337808,1.1557206,0.0,0.51624256,0.0,0.0,0.0,0.0,0.0,0.0,3.3863277,0.7905182,3.518444,1.5332968,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.861425,0.0,0.0,0.0,1.9605633,0.0,0.0,0.0,0.0,2.9943218,0.0,0.38000795,4.1111674,0.0,0.0,1.5080186,0.0,0.0,0.0,1.5223538,0.0,0.0,0.0,1.4631474,0.0,0.0,0.0,0.0,0.0,0.5626929,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.338427,0.0,0.0,0.0,2.6332958,0.0,0.0,0.0,0.0,0.27460247,0.0,0.0,0.0,4.3828473,0.0,0.0,0.0,0.0,4.315258,0.0,0.0,4.4871144,2.2128258,0.7716461,0.0,0.0,0.0,0.0,0.0,1.3376076,2.9234304,1.6592388,0.0,0.0,0.17732882,0.0,0.0,0.08127954
35,0.0,0.0,0.0,0.0,0.2969519,0.0,0.4609948,1.4100211,2.577464,0.0,4.070556,0.0,2.2866037,1.7043412,0.0,1.1282973,0.0,0.0,0.0,1.3447852,0.0,0.0,0.0,0.84397376,0.59763914,0.0,4.687509,0.0,0.0,2.6559858,1.4483652,0.0,0.8370692,0.0,0.0,0.0,0.0,0.0,0.0,3.4670153,1.0030828,3.5954468,1.4308114,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.95498073,0.0,0.0,0.0,2.0287645,0.0,0.0,0.0,0.0,3.0742466,0.0,0.69855285,3.61843,0.0,0.0,1.7818205,0.0,0.0,0.0,0.7271023,0.0,0.0,0.0,1.1887515,0.0,0.0,0.0,0.0,0.0,0.67747366,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.1726465,0.0,0.0,0.0,2.1849325,0.0,0.0,0.0,0.0,0.7984408,0.0,0.0,0.0,4.4913983,0.0,0.0,0.0,0.0,4.0078382,0.0,0.0,4.78216,2.4679866,0.7820699,0.0,0.0,0.0,0.0,0.0,1.2302085,2.6722465,1.7181984,0.0,0.0,0.3143174,0.0,0.0,0.5733853
37,0.0,0.0,0.0,0.0,0.15048653,0.0,0.3211425,1.8259437,3.2352796,1.3104727,4.595052,0.0,2.4845355,1.2373263,0.0,2.664348,0.0,0.0,0.0,1.3909771,0.0,0.0,0.0,1.0092206,1.1143034,0.0,4.6608295,0.0,0.0,2.2561834,0.9244231,0.0,1.4714729,0.0,0.0,0.0,0.0,0.0,0.0,3.2715046,0.3099898,2.6372807,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.95133066,0.0,0.0,0.0,1.3263464,0.0,0.0,0.0,0.0,3.7623076,0.0,2.0129368,3.5076,0.0,0.55346745,1.6163675,0.0,0.0,0.0,0.17879595,0.0,0.0,0.0,1.4892362,0.0,0.0,0.0,0.0,0.0,1.1242064,0.0,0.0,0.0,0.0,2.2057695,0.0,0.0,0.0,0.0,0.0,4.3204675,0.0,0.0,0.0,2.1805344,0.0,0.0,0.0,0.0,1.1275015,0.0,0.0,0.0,4.9448957,0.0,0.0,0.0,0.0,3.9968493,0.0,0.0,5.404623,1.6670122,0.35784593,0.0,0.0,0.0,0.0,0.0,1.3549798,2.1705298,0.15670437,0.0,0.0,0.5016478,0.0,0.0,0.3765518
67,0.0,0.0,0.0,0.0,0.16027054,0.0,0.33101133,1.8545485,3.2032468,1.2208169,4.6857257,0.0,2.550837,1.236993,0.0,2.4775472,0.0,0.0,0.0,1.4261466,0.0,0.0,0.0,1.1531911,1.2868098,0.0,4.5970073,0.0,0.0,2.2853425,0.929399,0.0,1.5032479,0.0,0.0,0.0,0.0,0.0,0.0,3.3297353,0.31518087,2.703513,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.97763574,0.0,0.0,0.0,1.3643397,0.0,0.0,0.0,0.0,3.6953955,0.0,1.9573158,3.548596,0.0,0.41461626,1.4692847,0.0,0.0,0.0,0.13345343,0.0,0.0,0.0,1.4968615,0.0,0.0,0.0,0.0,0.0,1.1648571,0.0,0.0,0.0,0.0,2.2655315,0.0,0.0,0.0,0.0,0.0,4.3405085,0.0,0.0,0.0,2.3329372,0.0,0.0,0.0,0.0,1.1045914,0.0,0.0,0.0,4.9731126,0.0,0.0,0.0,0.0,4.0128093,0.0,0.0,5.376512,1.6315321,0.3490683,0.0,0.0,0.0,0.0,0.0,1.5321138,2.1392803,0.1709416,0.0,0.0,0.6178474,0.0,0.0,0.4155971
67,0.0,0.0,0.0,0.0,0.4207136,0.0,0.0579459,1.4698185,2.5454211,0.0,4.052642,0.0,2.6680322,1.4626467,0.0,1.3914877,0.0,0.0,0.0,1.6840872,0.0,0.0,0.0,1.060188,1.2067719,0.0,4.4358635,0.0,0.0,2.3752198,0.0,0.0,1.0108234,0.0,0.0,0.0,0.0,0.0,0.0,3.999316,0.59058505,3.224091,0.10410808,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.53043336,0.0,0.0,0.0,2.125565,0.0,0.0,0.0,0.0,3.6609924,0.0,1.0998578,3.5867822,0.0,0.1008653,1.6340059,0.0,0.0,0.0,0.7268498,0.0,0.0,0.0,1.3046019,0.0,0.0,0.0,0.0,0.0,0.7829399,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.672647,0.0,0.0,0.0,2.854782,0.0,0.0,0.0,0.0,0.70663536,0.0,0.0,0.0,5.2150974,0.0,0.0,0.0,0.0,3.9849708,0.0,0.0,4.6341095,2.0718672,0.0,0.0,0.0,0.0,0.0,0.0,1.5579252,2.706869,0.8786157,0.0,0.0,0.5827464,0.0,0.0,0.33906764
